Query ID,Node Type,Filters,Execution Time
1,Index Scan,"(b,100),(a,1)",0.701
2,Index Scan,"(b,200),(a,1)",0.019
3,Index Scan,"(b,300),(a,1)",0.011
4,Index Scan,"(b,400),(a,1)",0.011
5,Index Scan,"(b,500),(a,1)",0.011
6,Index Scan,"(b,600),(a,1)",0.011
7,Index Scan,"(b,700),(a,1)",0.02
8,Index Scan,"(b,800),(a,1)",0.012
9,Index Scan,"(b,900),(a,1)",0.011
10,Index Scan,"(b,1000),(a,1)",0.01
11,Index Scan,"(b,1100),(a,1)",0.01
12,Index Scan,"(b,1200),(a,1)",0.012
13,Index Scan,"(b,1300),(a,1)",0.01
14,Index Scan,"(b,1400),(a,1)",0.011
15,Index Scan,"(b,1500),(a,1)",0.01
16,Index Scan,"(b,1600),(a,1)",0.049
17,Index Scan,"(b,1700),(a,1)",0.023
18,Index Scan,"(b,1800),(a,1)",0.011
19,Index Scan,"(b,1900),(a,1)",0.01
20,Index Scan,"(b,2000),(a,1)",0.009
21,Index Scan,"(b,2100),(a,1)",0.01
22,Index Scan,"(b,2200),(a,1)",0.009
23,Index Scan,"(b,2300),(a,1)",0.009
24,Index Scan,"(b,2400),(a,1)",0.009
25,Index Scan,"(b,2500),(a,1)",0.009
26,Index Scan,"(b,2600),(a,1)",0.009
27,Index Scan,"(b,2700),(a,1)",0.009
28,Index Scan,"(b,2800),(a,1)",0.009
29,Index Scan,"(b,2900),(a,1)",0.009
30,Index Scan,"(b,3000),(a,1)",0.009
31,Index Scan,"(b,3100),(a,1)",0.009
32,Index Scan,"(b,3200),(a,1)",0.009
33,Index Scan,"(b,3300),(a,1)",0.008
34,Index Scan,"(b,3400),(a,1)",0.009
35,Index Scan,"(b,3500),(a,1)",0.009
36,Index Scan,"(b,3600),(a,1)",0.009
37,Index Scan,"(b,3700),(a,1)",0.009
38,Index Scan,"(b,3800),(a,1)",0.009
39,Index Scan,"(b,3900),(a,1)",0.009
40,Index Scan,"(b,4000),(a,1)",0.026
41,Index Scan,"(b,4100),(a,1)",0.009
42,Index Scan,"(b,4200),(a,1)",0.009
43,Index Scan,"(b,4300),(a,1)",0.008
44,Index Scan,"(b,4400),(a,1)",0.009
45,Index Scan,"(b,4500),(a,1)",0.009
46,Index Scan,"(b,4600),(a,1)",0.009
47,Index Scan,"(b,4700),(a,1)",0.013
48,Index Scan,"(b,4800),(a,1)",0.013
49,Index Scan,"(b,4900),(a,1)",0.013
50,Index Scan,"(b,5000),(a,1)",0.013
51,Index Scan,"(b,5100),(a,1)",0.013
52,Index Scan,"(b,5200),(a,1)",0.013
53,Index Scan,"(b,5300),(a,1)",0.013
54,Index Scan,"(b,5400),(a,1)",0.013
55,Index Scan,"(b,5500),(a,1)",0.013
56,Index Scan,"(b,5600),(a,1)",0.013
57,Index Scan,"(b,5700),(a,1)",0.013
58,Index Scan,"(b,5800),(a,1)",0.013
59,Index Scan,"(b,5900),(a,1)",0.013
60,Index Scan,"(b,6000),(a,1)",0.013
61,Index Scan,"(b,6100),(a,1)",0.013
62,Index Scan,"(b,6200),(a,1)",0.013
63,Index Scan,"(b,6300),(a,1)",0.013
64,Index Scan,"(b,6400),(a,1)",0.01
65,Index Scan,"(b,6500),(a,1)",0.01
66,Index Scan,"(b,6600),(a,1)",0.01
67,Index Scan,"(b,6700),(a,1)",0.012
68,Index Scan,"(b,6800),(a,1)",0.01
69,Index Scan,"(b,6900),(a,1)",0.01
70,Index Scan,"(b,7000),(a,1)",0.01
71,Index Scan,"(b,7100),(a,1)",0.01
72,Index Scan,"(b,7200),(a,1)",0.01
73,Index Scan,"(b,7300),(a,1)",0.01
74,Index Scan,"(b,7400),(a,1)",0.008
75,Index Scan,"(b,7500),(a,1)",0.009
76,Index Scan,"(b,7600),(a,1)",0.076
77,Index Scan,"(b,7700),(a,1)",0.03
78,Index Scan,"(b,7800),(a,1)",0.01
79,Index Scan,"(b,7900),(a,1)",0.011
80,Index Scan,"(b,8000),(a,1)",0.009
81,Index Scan,"(b,8100),(a,1)",0.009
82,Index Scan,"(b,8200),(a,1)",0.009
83,Index Scan,"(b,8300),(a,1)",0.009
84,Index Scan,"(b,8400),(a,1)",0.009
85,Index Scan,"(b,8500),(a,1)",0.009
86,Index Scan,"(b,8600),(a,1)",0.009
87,Index Scan,"(b,8700),(a,1)",0.008
88,Index Scan,"(b,8800),(a,1)",0.009
89,Index Scan,"(b,8900),(a,1)",0.008
90,Index Scan,"(b,9000),(a,1)",0.009
91,Index Scan,"(b,9100),(a,1)",0.01
92,Index Scan,"(b,9200),(a,1)",0.011
93,Index Scan,"(b,9300),(a,1)",0.009
94,Index Scan,"(b,9400),(a,1)",0.009
95,Index Scan,"(b,9500),(a,1)",0.009
96,Index Scan,"(b,9600),(a,1)",0.022
97,Index Scan,"(b,9700),(a,1)",0.019
98,Index Scan,"(b,9800),(a,1)",0.005
99,Index Scan,"(b,9900),(a,1)",0.008
100,Index Scan,"(b,10000),(a,1)",0.005
101,Index Scan,"(b,10100),(a,1)",0.004
102,Index Scan,"(b,10200),(a,1)",0.004
103,Index Scan,"(b,10300),(a,1)",0.003
104,Index Scan,"(b,10400),(a,1)",0.003
105,Index Scan,"(b,10500),(a,1)",0.003
106,Index Scan,"(b,10600),(a,1)",0.003
107,Index Scan,"(b,10700),(a,1)",0.003
108,Index Scan,"(b,10800),(a,1)",0.003
109,Index Scan,"(b,10900),(a,1)",0.004
110,Index Scan,"(b,11000),(a,1)",0.005
111,Index Scan,"(b,11100),(a,1)",0.004
112,Index Scan,"(b,11200),(a,1)",0.008
113,Index Scan,"(b,11300),(a,1)",0.003
114,Index Scan,"(b,11400),(a,1)",0.003
115,Index Scan,"(b,11500),(a,1)",0.003
116,Index Scan,"(b,11600),(a,1)",0.003
117,Index Scan,"(b,11700),(a,1)",0.003
118,Index Scan,"(b,11800),(a,1)",0.003
119,Index Scan,"(b,11900),(a,1)",0.003
120,Index Scan,"(b,12000),(a,1)",0.009
121,Index Scan,"(b,12100),(a,1)",0.003
122,Index Scan,"(b,12200),(a,1)",0.003
123,Index Scan,"(b,12300),(a,1)",0.003
124,Index Scan,"(b,12400),(a,1)",0.003
125,Index Scan,"(b,12500),(a,1)",0.003
126,Index Scan,"(b,12600),(a,1)",0.003
127,Index Scan,"(b,12700),(a,1)",0.003
128,Index Scan,"(b,12800),(a,1)",0.003
129,Index Scan,"(b,12900),(a,1)",0.003
130,Index Scan,"(b,13000),(a,1)",0.005
131,Index Scan,"(b,13100),(a,1)",0.004
132,Index Scan,"(b,13200),(a,1)",0.02
133,Index Scan,"(b,13300),(a,1)",0.004
134,Index Scan,"(b,13400),(a,1)",0.005
135,Index Scan,"(b,13500),(a,1)",0.004
136,Index Scan,"(b,13600),(a,1)",0.004
137,Index Scan,"(b,13700),(a,1)",0.005
138,Index Scan,"(b,13800),(a,1)",0.003
139,Index Scan,"(b,13900),(a,1)",0.003
140,Index Scan,"(b,14000),(a,1)",0.003
141,Index Scan,"(b,14100),(a,1)",0.003
142,Index Scan,"(b,14200),(a,1)",0.003
143,Index Scan,"(b,14300),(a,1)",0.003
144,Index Scan,"(b,14400),(a,1)",0.003
145,Index Scan,"(b,100),(a,2)",0.039
146,Index Scan,"(b,200),(a,2)",0.004
