Query ID,Node Types,Filters,Execution Time,Cardinality e/a
"(1, 'a')","Aggregate, Hash, Hash Join, Index Scan, Index Scan, Index Scan, Memoize, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan","(id,mi_idx.movie_id), (info,top 250 rank), (id,mc.company_type_id), (kind,production companies), (movie_id,mi_idx.movie_id), (note,%(co-production), (note,%(presents)",77.561,"(1,1), (2,142), (1,47), (1,47), (122,49), (5089,83), (575015,460012), (1,1), (1,1), (1,1), (1,1), (1,1), (1,1)"
"(1, 'b')","Aggregate, Aggregate, Hash, Hash, Hash Join, Hash Join, Index Scan, Index Scan, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan","(info,bottom 10 rank), (kind,production companies), (movie_id,mi_idx.movie_id), (id,mc.movie_id), (production_year,= 2005), (production_year,= 2010)",48.287,"(1,1), (2,3), (1,1), (22,1), (78,2), (13830,33), (5089,3), (575015,460012), (1,1), (1,1), (3,10), (4,1), (4,1), (1,1)"
"(1, 'c')","Aggregate, Hash, Hash Join, Index Scan, Index Scan, Index Scan, Memoize, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan","(info,top 250 rank), (id,mc.company_type_id), (kind,production companies), (movie_id,mi_idx.movie_id), (note,%(co-production), (id,mi_idx.movie_id), (production_year,2010)",42.593,"(1,1), (1,3), (1,23), (1,8), (85,8), (5089,83), (575015,460012), (1,1), (1,1), (1,0), (1,1), (1,1), (1,0)"
"(1, 'd')","Aggregate, Aggregate, Hash, Hash, Hash Join, Hash Join, Index Scan, Index Scan, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan","(info,bottom 10 rank), (kind,production companies), (movie_id,mi_idx.movie_id), (id,mc.movie_id), (production_year,2000)",40.111,"(1,1), (2,3), (1,1), (42,1), (78,2), (13830,33), (5089,3), (575015,460012), (1,1), (1,1), (3,10), (4,1), (4,1), (1,1)"
"(2, 'a')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(country_code,[de]), (id,mc.company_id), (id,mk.movie_id), (keyword,character-name-in-title), (keyword_id,k.id), (keyword_id,k.id), (movie_id,mk.movie_id)",2688.787,"(1,1), (7,7834), (7,7834), (180,148552), (34,41840), (1,1), (301,41840), (301,41840), (5,4), (1,0), (1,1)"
"(2, 'b')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(country_code,[nl]), (id,mc.company_id), (id,mk.movie_id), (keyword,character-name-in-title), (keyword_id,k.id), (keyword_id,k.id), (movie_id,mk.movie_id)",507.918,"(1,1), (2,5228), (2,5228), (180,148552), (34,41840), (1,1), (301,41840), (301,41840), (5,4), (1,0), (1,1)"
"(2, 'c')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(country_code,[sm]), (id,mc.company_id), (id,mk.movie_id), (keyword,character-name-in-title), (keyword_id,k.id), (keyword_id,k.id), (movie_id,mk.movie_id)",357.859,"(1,1), (1,0), (1,0), (180,148552), (34,41840), (1,1), (301,41840), (301,41840), (5,4), (1,0), (1,0)"
"(2, 'd')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(country_code,[us]), (id,mc.company_id), (id,mk.movie_id), (keyword,character-name-in-title), (keyword_id,k.id), (keyword_id,k.id), (movie_id,mk.movie_id)",2307.638,"(1,1), (65,68316), (180,148552), (34,41840), (34,41840), (1,1), (301,41840), (301,41840), (1,1), (5,4), (1,0)"
"(3, 'a')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(keyword,%sequel%), (keyword_id,k.id), (keyword_id,k.id), (id,mk.movie_id), (production_year,2005), (movie_id,mk.movie_id), (text,ANY ()",1991.955,"(1,1), (67,206), (174,2235), (438,12951), (13,30), (301,432), (301,432), (1,0), (1,0)"
"(3, 'b')","Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan","(info,Bulgaria), (movie_id,mk.movie_id), (keyword,%sequel%), (keyword_id,k.id), (keyword_id,k.id), (id,mk.movie_id), (production_year,2010)",57.81,"(1,1), (1,5), (68,405), (438,12951), (13,30), (301,432), (301,432), (1,0), (1,0)"
