Query ID,Node Types,Filters,Execution Time,Cardinality e/a
1,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,1.0)",1290.915,"(1,1), (1,132), (1,273), (1,590), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (2,2), (1,1), (5,1)"
2,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,2.0)",103.687,"(1,1), (1,131), (1,271), (1,483), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (2,2), (1,1), (5,1)"
3,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,3.0)",92.478,"(1,1), (1,126), (1,263), (1,422), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (2,1), (1,1), (5,1)"
4,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,4.0)",98.945,"(1,1), (1,120), (1,254), (1,382), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,1), (1,1), (5,1)"
5,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,5.0)",95.687,"(1,1), (1,101), (1,214), (1,312), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,1), (1,1), (5,1)"
6,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,6.0)",102.643,"(1,1), (1,71), (1,140), (1,209), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,1), (1,1), (5,1)"
7,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,7.0)",103.046,"(1,1), (1,18), (1,49), (1,99), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,0), (1,1), (5,1)"
8,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,8.0)",98.984,"(1,1), (1,4), (1,5), (1,31), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,0), (1,1), (5,1)"
9,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,9.0)",98.028,"(1,1), (1,0), (1,0), (1,9), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (1,0), (1,1), (5,0)"
10,"Aggregate, Bitmap Heap Scan, Bitmap Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan","(production_year,1880), (rating,10.0)",98.025,"(1,1), (1,132), (1,272), (1,583), (1,301), (1,332), (1,426), (67,19528), (2,1), (301,19528), (301,19528), (1,0), (2,1), (1,1), (2,2), (1,1), (5,1)"
