Category,Number of Plans,Percentage,Last Node Type,Second Last Node Type
Category 1,307,10.964285714285714,Index Scan,Index Scan
Category 2,25,0.8928571428571428,Index Scan,Index Scan
Category 3,176,6.2857142857142865,Index Scan,Index Scan
Category 4,719,25.678571428571427,Index Scan,Index Scan
Category 5,10,0.35714285714285715,Index Scan,Index Scan
Category 6,94,3.357142857142857,Index Scan,Index Scan
Category 7,45,1.607142857142857,Index Scan,Index Scan
Category 8,307,10.964285714285714,Index Scan,Index Scan
Category 9,52,1.8571428571428572,Index Scan,Index Scan
Category 10,97,3.4642857142857144,Index Scan,Index Scan
Category 11,86,3.0714285714285716,Index Scan,Index Scan
Category 12,163,5.821428571428571,Index Scan,Index Scan
Category 13,188,6.714285714285714,Index Scan,Index Scan
Category 14,85,3.0357142857142856,Index Scan,Index Scan
Category 15,24,0.8571428571428572,Index Scan,Index Scan
Category 16,120,4.285714285714286,Index Scan,Index Scan
Category 17,6,0.2142857142857143,Index Scan,Index Scan
Category 18,32,1.1428571428571428,Index Scan,Index Scan
Category 19,14,0.5,Index Scan,Index Scan
Category 20,219,7.821428571428571,Index Scan,Index Scan
Category 21,22,0.7857142857142858,Index Scan,Index Scan
Category 22,9,0.3214285714285714,Index Scan,Index Scan
