Query ID,Node Types,Filters,Execution Time,Cardinality e/a
1,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,ARGENTINA)",25823.131,"(1287,4), (1072,12), (536,4), (536,19228), (536,19228), (90612,482642), (7702057,6076775), (692,2647), (692,2647), (58824,33333), (2,2), (2,2), (73524,399259), (73524,399259), (6249513,5000000), (7353,39919), (7353,39919), (625007,500000), (2,2), (2,2)"
2,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,BRAZIL)",25850.075,"(1287,4), (1072,12), (536,4), (536,19272), (536,19272), (90612,481671), (7702057,6076775), (692,2643), (692,2643), (58824,33333), (2,2), (2,2), (73524,399864), (73524,399864), (6249513,5000000), (7353,39956), (7353,39956), (625007,500000), (2,2), (2,2)"
3,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,CANADA)",25463.921,"(1287,4), (1072,12), (536,4), (536,19409), (536,19409), (90612,485176), (7702057,6076775), (692,2663), (692,2663), (58824,33333), (2,2), (2,2), (73524,398065), (73524,398065), (6249513,5000000), (7353,39922), (7353,39922), (625007,500000), (2,2), (2,2)"
4,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,EGYPT)",26573.383,"(1287,4), (1072,12), (536,4), (536,19276), (536,19276), (90612,481163), (7702057,6076775), (692,2638), (692,2638), (58824,33333), (2,2), (2,2), (73524,399341), (73524,399341), (6249513,5000000), (7353,39962), (7353,39962), (625007,500000), (2,2), (2,2)"
5,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,ETHIOPIA)",24544.943,"(1287,4), (1072,12), (536,4), (536,19304), (536,19304), (90612,478396), (7702057,6076775), (692,2626), (692,2626), (58824,33333), (2,2), (2,2), (73524,401432), (73524,401432), (6249513,5000000), (7353,40129), (7353,40129), (625007,500000), (2,2), (2,2)"
6,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,FRANCE)",25268.686,"(1287,4), (1072,12), (536,4), (536,19222), (536,19222), (90612,479970), (7702057,6076775), (692,2632), (692,2632), (58824,33333), (2,2), (2,2), (73524,400960), (73524,400960), (6249513,5000000), (7353,40077), (7353,40077), (625007,500000), (2,2), (2,2)"
7,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,GERMANY)",24664.521,"(1287,4), (1072,12), (536,4), (536,19301), (536,19301), (90612,484857), (7702057,6076775), (692,2661), (692,2661), (58824,33333), (2,2), (2,2), (73524,400067), (73524,400067), (6249513,5000000), (7353,40023), (7353,40023), (625007,500000), (2,2), (2,2)"
8,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,INDIA)",24772.681,"(1287,4), (1072,12), (536,4), (536,19518), (536,19518), (90612,487013), (7702057,6076775), (692,2671), (692,2671), (58824,33333), (2,2), (2,2), (73524,399791), (73524,399791), (6249513,5000000), (7353,40044), (7353,40044), (625007,500000), (2,2), (2,2)"
9,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,INDONESIA)",24502.414,"(1287,4), (1072,12), (536,4), (536,19221), (536,19221), (90612,480103), (7702057,6076775), (692,2636), (692,2636), (58824,33333), (2,2), (2,2), (73524,400589), (73524,400589), (6249513,5000000), (7353,40051), (7353,40051), (625007,500000), (2,2), (2,2)"
10,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_name,ALGERIA), (n_name,IRAN)",24881.676,"(1287,4), (1072,12), (536,4), (536,19434), (536,19434), (90612,483290), (7702057,6076775), (692,2652), (692,2652), (58824,33333), (2,2), (2,2), (73524,398700), (73524,398700), (6249513,5000000), (7353,40006), (7353,40006), (625007,500000), (2,2), (2,2)"
