Query ID,Node Types,Filters,Execution Time,Cardinality e/a
1,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AFRICA), (s_suppkey,lineitem.l_suppkey), (text,TIN)",6030.485,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303683), (11176,303683), (1899947,1519171), (3677,99831), (3677,99831), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
2,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AFRICA), (s_suppkey,lineitem.l_suppkey), (text,NICKEL)",5136.482,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303683), (11176,303683), (1899947,1519171), (3677,99831), (3677,99831), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
3,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AFRICA), (s_suppkey,lineitem.l_suppkey), (text,BRASS)",4513.111,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303683), (11176,303683), (1899947,1519171), (3677,99831), (3677,99831), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
4,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AFRICA), (s_suppkey,lineitem.l_suppkey), (text,STEEL)",4032.185,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303683), (11176,303683), (1899947,1519171), (3677,99831), (3677,99831), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
5,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AFRICA), (s_suppkey,lineitem.l_suppkey), (text,COPPER)",3650.339,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303683), (11176,303683), (1899947,1519171), (3677,99831), (3677,99831), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
6,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,TIN)",3201.248,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
7,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,NICKEL)",2892.894,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
8,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,BRASS)",2628.819,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
9,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,STEEL)",2472.26,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
10,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,COPPER)",2247.399,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
11,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,TIN)",1114.23,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
12,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,NICKEL)",920.372,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
13,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,BRASS)",933.47,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
14,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,STEEL)",910.387,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
15,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,COPPER)",919.642,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
16,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,TIN)",968.051,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
17,"Aggregate, Aggregate, Gather Merge, Hash, Hash, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(o_orderdate,= ), (r_name,AMERICA), (s_suppkey,lineitem.l_suppkey), (text,NICKEL)",887.486,"(714,0), (596,0), (298,0), (298,0), (298,0), (298,0), (298,0), (166440,0), (24992993,0), (5550,0), (5550,0), (11176,303453), (11176,303453), (1899947,1519171), (3677,99812), (3677,99812), (625007,500000), (1,5), (1,5), (170,25), (1,1), (1,1), (1,0), (170,25), (170,25)"
